model_id,n_concepts,activation,metric,steps_mode,t_alpha,rho,divergence,divergence_abs,error,sign_agreement,n_iter,seconds,success
1,6,tanh,spectral,half,10,10.0,1.150284,3.937463,4.719728e-03,0.733333,323,0.1518,1
1,6,tanh,spectral,half,10,100.0,0.653812,2.238021,1.410092e-03,0.866667,383,0.1856,1
1,6,tanh,spectral,half,10,1000.0,0.363294,1.243567,4.938145e-04,0.900000,438,0.2305,1
1,6,tanh,spectral,half,10,10000.0,0.188672,0.645830,8.099478e-05,1.000000,588,0.2942,1
1,6,tanh,spectral,last,20,1.0,1.944815,6.657167,2.321213e-02,0.433333,687,0.3503,1
1,6,tanh,spectral,last,20,10.0,1.751888,5.996774,8.529053e-03,0.466667,672,0.3161,1
1,6,tanh,spectral,last,20,100.0,1.722654,5.896703,9.615102e-03,0.500000,1000,0.5275,0
1,6,tanh,spectral,last,20,1000.0,1.932198,6.613980,6.535283e-03,0.233333,763,0.4165,1
1,6,tanh,spectral,last,20,10000.0,1.939464,6.638851,7.799003e-03,0.233333,761,0.4112,1
2,7,sigmoid,frobenius,all,1,1.0,2.179690,8.800401,5.625488e-03,0.309524,58,0.0397,1
2,7,sigmoid,frobenius,all,1,10.0,2.027449,8.185736,2.006855e-03,0.380952,124,0.0753,1
2,7,sigmoid,frobenius,all,1,100.0,1.472792,5.946334,6.305694e-04,0.547619,570,0.3449,1
2,7,sigmoid,frobenius,all,1,1000.0,0.799873,3.229451,1.082875e-04,0.857143,415,0.3089,1
2,7,sigmoid,frobenius,all,1,10000.0,0.449351,1.814233,2.734207e-05,0.952381,245,0.1517,1
2,7,sigmoid,frobenius,half,10,1.0,2.167475,8.751087,4.164899e-03,0.333333,41,0.0295,1
2,7,sigmoid,frobenius,half,10,10.0,2.024578,8.174146,8.458868e-04,0.428571,78,0.0494,1
2,7,sigmoid,frobenius,half,10,100.0,1.776331,7.171857,4.457923e-04,0.452381,151,0.1053,1
2,7,sigmoid,frobenius,half,10,1000.0,1.113575,4.496010,8.070586e-05,0.714286,792,0.5181,1
2,7,sigmoid,frobenius,half,10,10000.0,0.588191,2.374797,1.690316e-05,0.904762,738,0.4187,1
2,7,sigmoid,frobenius,last,20,1.0,2.176096,8.785893,4.477449e-03,0.333333,58,0.0339,1
2,7,sigmoid,frobenius,last,20,10.0,2.024578,8.174145,8.458844e-04,0.428571,77,0.0401,1
2,7,sigmoid,frobenius,last,20,100.0,1.781103,7.191127,4.322360e-04,0.547619,168,0.1118,1
2,7,sigmoid,frobenius,last,20,1000.0,1.112406,4.491292,8.051139e-05,0.714286,799,0.4324,1
2,7,sigmoid,frobenius,last,20,10000.0,0.588192,2.374800,1.690322e-05,0.904762,701,0.3809,1
2,7,sigmoid,nuclear,all,1,1.0,2.077926,8.389534,3.727394e-03,0.404762,77,0.0423,1
2,7,sigmoid,nuclear,all,1,10.0,1.867296,7.539127,1.582397e-03,0.452381,172,0.1027,1
2,7,sigmoid,nuclear,all,1,100.0,1.157084,4.671677,4.117937e-04,0.738095,714,0.4189,1
2,7,sigmoid,nuclear,all,1,1000.0,0.643512,2.598152,9.466884e-05,0.904762,893,0.5128,1
2,7,sigmoid,nuclear,all,1,10000.0,0.308669,1.246238,2.060968e-05,0.976190,1000,0.6025,0
2,7,sigmoid,nuclear,half,10,1.0,2.059991,8.317122,2.186540e-03,0.404762,56,0.0330,1
